date,open,high,low,close,volume,average,barCount
2025-08-08,522.15,524.54,519.42,522.08,-1.0,-1.0,-1
2025-08-11,522.25,527.55,519.76,521.85,-1.0,-1.0,-1
2025-08-12,524.0,530.96,522.7,529.38,-1.0,-1.0,-1
2025-08-13,532.25,532.66,519.37,520.61,-1.0,-1.0,-1
2025-08-14,522.45,525.94,520.14,522.46,-1.0,-1.0,-1
2025-08-15,522.77,526.09,519.1,520.0,-1.0,-1.0,-1
2025-08-18,521.66,522.82,514.02,517.1,-1.0,-1.0,-1
2025-08-19,515.12,515.15,508.56,509.87,-1.0,-1.0,-1
2025-08-20,509.87,510.97,504.45,505.56,-1.0,-1.0,-1
2025-08-21,503.6,507.64,502.76,504.19,-1.0,-1.0,-1
2025-08-22,504.73,510.72,502.4,507.1,-1.0,-1.0,-1
2025-08-25,506.71,508.19,504.16,504.32,-1.0,-1.0,-1
2025-08-26,504.36,504.92,498.51,502.01,-1.0,-1.0,-1
2025-08-27,501.75,507.26,499.9,506.67,-1.0,-1.0,-1
2025-08-28,506.9,510.89,505.54,509.5,-1.0,-1.0,-1
2025-08-29,508.76,509.6,504.49,506.74,-1.0,-1.0,-1
2025-09-02,500.15,505.82,496.82,505.0,-1.0,-1.0,-1
2025-09-03,503.88,507.79,502.31,505.35,-1.0,-1.0,-1
2025-09-04,504.15,508.14,503.17,507.91,-1.0,-1.0,-1
2025-09-05,509.25,511.93,492.38,495.01,-1.0,-1.0,-1
2025-09-08,498.11,501.2,495.04,498.28,-1.0,-1.0,-1
2025-09-09,501.48,502.25,497.71,498.44,-1.0,-1.0,-1
2025-09-10,503.02,503.21,496.69,500.24,-1.0,-1.0,-1
2025-09-11,502.48,503.18,497.85,501.05,-1.0,-1.0,-1
2025-09-12,506.56,512.54,503.86,509.86,-1.0,-1.0,-1
2025-09-15,509.0,515.46,507.1,515.46,-1.0,-1.0,-1
2025-09-16,516.9,517.15,508.65,509.07,-1.0,-1.0,-1
2025-09-17,510.38,511.31,505.92,509.99,-1.0,-1.0,-1
2025-09-18,510.77,513.05,507.66,508.37,-1.0,-1.0,-1
2025-09-19,510.62,519.25,510.33,518.0,-1.0,-1.0,-1
2025-09-22,515.65,517.77,512.54,514.36,-1.0,-1.0,-1
2025-09-23,513.76,514.54,507.3,509.59,-1.0,-1.0,-1
2025-09-24,510.58,512.35,506.95,510.07,-1.0,-1.0,-1
2025-09-25,508.15,510.01,505.04,506.97,-1.0,-1.0,-1
2025-09-26,510.18,513.92,506.65,511.47,-1.0,-1.0,-1
2025-09-29,511.38,516.85,508.92,514.64,-1.0,-1.0,-1
2025-09-30,513.1,518.07,509.7,517.95,-1.0,-1.0,-1
2025-10-01,515.14,520.51,511.68,519.63,-1.0,-1.0,-1
2025-10-02,517.72,521.56,510.7,515.68,-1.0,-1.0,-1
2025-10-03,516.89,520.48,514.98,517.35,-1.0,-1.0,-1
2025-10-06,518.54,531.0,518.24,528.52,-1.0,-1.0,-1
2025-10-07,528.29,529.79,521.44,523.81,-1.0,-1.0,-1
2025-10-08,523.28,526.94,523.12,524.81,-1.0,-1.0,-1
2025-10-09,522.42,524.35,517.45,522.35,-1.0,-1.0,-1
2025-10-10,520.01,523.58,509.83,511.16,-1.0,-1.0,-1
2025-10-13,516.41,516.52,511.68,514.03,-1.0,-1.0,-1
2025-10-14,510.12,515.29,506.02,513.63,-1.0,-1.0,-1
2025-10-15,514.96,517.2,509.95,513.64,-1.0,-1.0,-1
2025-10-16,512.73,516.84,508.12,511.62,-1.0,-1.0,-1
2025-10-17,508.67,515.48,507.32,513.66,-1.0,-1.0,-1
2025-10-20,514.61,518.68,513.42,516.83,-1.0,-1.0,-1
2025-10-21,517.6,518.64,513.07,517.73,-1.0,-1.0,-1
2025-10-22,520.87,525.22,517.74,520.51,-1.0,-1.0,-1
2025-10-23,522.85,523.95,518.61,520.66,-1.0,-1.0,-1
2025-10-24,522.91,525.33,520.73,523.57,-1.0,-1.0,-1
2025-10-27,531.78,534.56,529.03,531.45,-1.0,-1.0,-1
2025-10-28,550.5,553.54,540.8,542.09,-1.0,-1.0,-1
2025-10-29,544.78,546.18,536.72,542.65,-1.0,-1.0,-1
2025-10-30,530.45,534.92,522.13,525.8,-1.0,-1.0,-1
2025-10-31,529.05,529.12,515.1,517.82,-1.0,-1.0,-1
2025-11-03,519.79,524.95,514.59,517.05,-1.0,-1.0,-1
